Наименование,Описание,Рубрики,Адрес,Комментарий к адресу,Почтовый индекс,Микрорайон,Район,Город,Округ,Регион,Страна,Часы работы,Часовой пояс,Рейтинг,Количество отзывов,Телефон 1,Телефон 2,Телефон 3,E-mail,Веб-сайт 1,Веб-сайт 2,Twitter,ВКонтакте,WhatsApp,Viber,Telegram,YouTube,Широта,Долгота,2GIS URL
Здесь Был Пьер,гастробар,Кафе,"улица Воровского, 78",1 этаж,610035,,Ленинский район,Киров,Киров городской округ,Кировская область,Россия,Пн: 12:00-23:00; Вт: 12:00-23:00; Ср: 12:00-23:00; Чт: 12:00-23:00; Пт: 12:00-23:00; Сб: 12:00-23:00; Вс: 12:00-23:00,+03:00,4.2,48,89229682341,88332490309,,,http://selipoeli.ru/gastrobar,,,,,,,,58.592974,49.632196,https://2gis.com/firm/70000001041094224
Лампа Грина,книжный клуб,Кафе; Книги; Кофейни; Кафе-кондитерские; Кондитерские изделия,"Московская улица, 3",1002 помещение,610020,Исторический центр,Первомайский район,Киров,Киров городской округ,Кировская область,Россия,Пн: 07:00-23:00; Вт: 07:00-23:00; Ср: 07:00-23:00; Чт: 07:00-23:00; Пт: 07:00-23:00; Сб: 07:00-23:00; Вс: 07:00-23:00,+03:00,5.0,9,89127377565,,,,,,,https://vk.com/greenlamp43,https://wa.me/79127377565,viber://chat/?number=79127377565,,,58.604035,49.683965,https://2gis.com/firm/70000001065498561
Brusnika,кафе,Кафе,"улица Ленина, 82/1",1002 помещение; 1 этаж,610020,Исторический центр,Первомайский район,Киров,Киров городской округ,Кировская область,Россия,Пн: 08:30-22:00; Вт: 08:30-22:00; Ср: 08:30-22:00; Чт: 08:30-22:00; Пт: 08:30-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+03:00,4.4,34,88332792252,,,,,,,https://vk.com/cafe_brusnika43,,,,,58.602278,49.681642,https://2gis.com/firm/70000001051992104
Книжный клуб 12,кофейня,Кофейни,"Преображенская улица, 15",1 этаж,610020,Исторический центр,Первомайский район,Киров,Киров городской округ,Кировская область,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+03:00,3.9,21,88332221212,,,,,,https://twitter.com/dvenadzach,https://vk.com/clubbook12,,,,,58.605576,49.679137,https://2gis.com/firm/8163302605626673
Santa Mozzarella!,кафе,Кафе; Пиццерии,"улица Воровского, 10",1 этаж,610002,Исторический центр,Первомайский район,Киров,Киров городской округ,Кировская область,Россия,Пн: 11:00-23:00; Вт: 11:00-23:00; Ср: 11:00-23:00; Чт: 11:00-23:00; Пт: 11:00-23:00; Сб: 11:00-23:00; Вс: 11:00-23:00,+03:00,4.3,33,88332754102,,,,http://pizzasanta.ru,,,https://vk.com/pizzasantamozzarella,,,,,58.593903,49.679244,https://2gis.com/firm/70000001055612445
Вкусно — и точка,,Быстрое питание; Доставка готовых блюд,"улица Воровского, 100а",,610021,Юго-Запад м-н,Ленинский район,Киров,Киров городской округ,Кировская область,Россия,Пн: 07:00-23:00; Вт: 07:00-23:00; Ср: 07:00-23:00; Чт: 07:00-23:00; Пт: 07:00-23:00; Сб: 07:00-23:00; Вс: 07:00-23:00,+03:00,3.3,37,88332203790,,,,http://vkusnoitochka.ru,,,https://vk.com/vkusno_itochka,,,https://t.me/vit_russia,,58.596721,49.607591,https://2gis.com/firm/8163302605671774
Мох,кафе-бар,Кафе,"улица Карла Маркса, 18а",3 этаж,610020,Исторический центр,Первомайский район,Киров,Киров городской округ,Кировская область,Россия,Пн: 09:00-21:00; Вт: 09:00-21:00; Ср: 09:00-21:00; Чт: 09:00-21:00; Пт: 09:00-24:00; Сб: 09:00-24:00; Вс: 09:00-21:00,+03:00,5.0,6,88332777377,89229273777,,,http://moh-kirov.ru,,,https://vk.com/kafe_mox,https://wa.me/79229273777,,,,58.614146,49.667574,https://2gis.com/firm/70000001062535068
Брокколи,веганское кафе,Кафе; Доставка готовых блюд,"улица Горбачёва, 16",2 этаж,610002,Исторический центр,Первомайский район,Киров,Киров городской округ,Кировская область,Россия,Пн: 09:00-21:00; Вт: 09:00-21:00; Ср: 09:00-21:00; Чт: 09:00-21:00; Пт: 09:00-21:00; Сб: 09:00-21:00; Вс: 09:00-21:00,+03:00,4.5,35,88332217550,,,,,,,https://vk.com/vegan43,,,,,58.600162,49.684179,https://2gis.com/firm/70000001034743475
A.dress счастья,кафе,Кафе; Кондитерские изделия,"улица Герцена, 41",1 этаж,610017,,Ленинский район,Киров,Киров городской округ,Кировская область,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-02:00; Сб: 08:00-02:00; Вс: 08:00-23:00,+03:00,3.7,34,88332442900,89127342900,,,,,,https://vk.com/a.dress43,,,,,58.600287,49.667534,https://2gis.com/firm/70000001051382597
Ланч Бранч,кафе-столовая,Столовые; Кафе,"улица Молодой Гвардии, 82",1 этаж,610017,,Ленинский район,Киров,Киров городской округ,Кировская область,Россия,Пн: 08:00-21:00; Вт: 08:00-21:00; Ср: 08:00-21:00; Чт: 08:00-21:00; Пт: 08:00-21:00; Сб: 08:00-21:00; Вс: 08:00-21:00,+03:00,3.5,48,88332420020,89229820020,,,,,,,,,,,58.597963,49.655585,https://2gis.com/firm/70000001038179195
Leonardo,кафе,Кафе; Пиццерии; Кондитерские изделия,"улица Ленина, 64",1 этаж,610004,Исторический центр,Первомайский район,Киров,Киров городской округ,Кировская область,Россия,Пн: 10:00-23:00; Вт: 10:00-23:00; Ср: 10:00-23:00; Чт: 10:00-23:00; Пт: 10:00-23:00; Сб: 10:00-23:00; Вс: 10:00-23:00,+03:00,3.9,37,88332219089,,,,,,,https://vk.com/cafeleonardo,,,,,58.60855,49.68087,https://2gis.com/firm/8163302605754119
Coffee Like,кофе-бар,Кофейни,"Октябрьский проспект, 117",1 этаж; левое крыло,610046,,Октябрьский район,Киров,Киров городской округ,Кировская область,Россия,Пн: 08:00-21:00; Вт: 08:00-21:00; Ср: 08:00-21:00; Чт: 08:00-21:00; Пт: 08:00-21:00; Сб: 09:00-21:00; Вс: 09:00-21:00,+03:00,4.9,33,88003334130,83412908292,,,http://coffee-like.com/?utm_source=pinbox&utm_medium=cpc&utm_campaign=geo#кофе,,,https://vk.com/coffeelike43,https://wa.me/79120109900,viber://chat/?number=79120109900,,,58.604365,49.656841,https://2gis.com/firm/70000001037281517
Провино,бар,Бары; Рестораны; Доставка готовых блюд,"улица Ленина, 86",2 этаж,610002,Исторический центр,Первомайский район,Киров,Киров городской округ,Кировская область,Россия,Пн: 10:00-23:00; Вт: 10:00-23:00; Ср: 10:00-23:00; Чт: 10:00-23:00; Пт: 10:00-24:00; Сб: 10:00-24:00; Вс: 10:00-23:00,+03:00,4.2,3,88332222702,,,,http://provinoshop.ru,,,https://vk.com/barprovino,,,,,58.601364,49.681453,https://2gis.com/firm/70000001055135351
Калейдоскоп,игровое кафе,Кафе; Банкетные залы,"Красноармейская улица, 1а",цокольный этаж,610002,Исторический центр,Первомайский район,Киров,Киров городской округ,Кировская область,Россия,Пн: 09:00-21:00; Вт: 09:00-21:00; Ср: 09:00-21:00; Чт: 09:00-21:00; Пт: 09:00-21:00; Сб: 09:00-21:00; Вс: 09:00-21:00,+03:00,3.7,16,88332227093,,,,http://43play.ru,,,https://vk.com/kaleydoskop43,https://wa.me/79123700022,viber://chat/?number=79123700022,,,58.593159,49.683153,https://2gis.com/firm/8163303606214472
12 стульев,кафе,Кафе; Банкетные залы,"улица Сурикова, 19",1 этаж,610035,,Ленинский район,Киров,Киров городской округ,Кировская область,Россия,Пн: 09:00-22:00; Вт: 09:00-22:00; Ср: 09:00-22:00; Чт: 09:00-22:00; Пт: 09:00-24:00; Сб: 12:00-24:00; Вс: 12:00-22:00,+03:00,5.0,9,88332631933,88332448386,,,,,,https://vk.com/12chairscafe,https://wa.me/79195119967,viber://chat/?number=79195119967,,,58.588073,49.635585,https://2gis.com/firm/8163302605586452
Rainero,кафе-пиццерия,Пиццерии; Кафе,"Московская улица, 24",,610020,Исторический центр,Первомайский район,Киров,Киров городской округ,Кировская область,Россия,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+03:00,4.1,37,89229775775,,,,http://pizzeria-rainero.ru,,,https://vk.com/pizza_rainero,https://wa.me/79229775775,viber://chat/?number=79229775775,,,58.603591,49.674508,https://2gis.com/firm/70000001036010406
Пузата Хата,кафе-столовая,Столовые; Банкетные залы; Конференц-залы / Переговорные комнаты; Кафе,"улица Блюхера, 12",,610002,,Ленинский район,Киров,Киров городской округ,Кировская область,Россия,Пн: 07:30-23:00; Вт: 07:30-23:00; Ср: 07:30-23:00; Чт: 07:30-23:00; Пт: 07:30-23:00; Сб: 07:30-23:00; Вс: 07:30-23:00,+03:00,3.1,35,89123762325,,,,,,,https://vk.com/id618212269,https://wa.me/79123762325,viber://chat/?number=79123762325,,,58.584265,49.68363,https://2gis.com/firm/70000001046430044
Вкусно — и точка,,Быстрое питание; Доставка готовых блюд,"Луганская улица, 53/2",2 этаж,610044,,Октябрьский район,Киров,Киров городской округ,Кировская область,Россия,Пн: 10:00-21:00; Вт: 10:00-21:00; Ср: 10:00-21:00; Чт: 10:00-21:00; Пт: 10:00-21:00; Сб: 10:00-21:00; Вс: 10:00-21:00,+03:00,2.2,11,88332204824,,,,http://vkusnoitochka.ru,,,https://vk.com/vkusno_itochka,,,https://t.me/vit_russia,,58.616009,49.594048,https://2gis.com/firm/70000001056350237
Барон Чайхаузен,кофейня-магазин,Кофейни; Продажа кофе; Продажа чая,"улица Карла Маркса, 62",1 этаж,610020,Исторический центр,Первомайский район,Киров,Киров городской округ,Кировская область,Россия,Пн: 08:00-20:00; Вт: 08:00-20:00; Ср: 08:00-20:00; Чт: 08:00-20:00; Пт: 08:00-20:00; Сб: 09:00-20:00; Вс: 09:00-20:00,+03:00,4.8,22,88332474035,89127170359,,,,,,https://vk.com/baron.chayhausen,https://wa.me/79127170359,,,,58.604505,49.669413,https://2gis.com/firm/70000001022038469
Фабрика кухня,кафе,Кафе,"улица Ленина, 198 к2",цокольный этаж,610007,Солнечный берег м-н,Ленинский район,Киров,Киров городской округ,Кировская область,Россия,Пн: 11:00-23:00; Вт: 11:00-23:00; Ср: 11:00-23:00; Чт: 11:00-23:00; Пт: 11:00-23:00; Сб: 11:00-23:00; Вс: 11:00-23:00,+03:00,3.4,14,88332411112 (бронирование столиков),88332205000 (банкетная служба),89226622616 (служба доставки),,,,,https://vk.com/fabricakuhnya,https://wa.me/79226622616,,,,58.56466,49.686365,https://2gis.com/firm/70000001045015876
Frakcia,кофейня,Кофейни; Продажа кофе; Кондитерские изделия,"улица Ленина, 86",,610002,Исторический центр,Первомайский район,Киров,Киров городской округ,Кировская область,Россия,Пн: 08:00-22:00; Вт: 08:00-22:00; Ср: 08:00-22:00; Чт: 08:00-22:00; Пт: 08:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+03:00,4.9,21,,,,,,,,https://vk.com/frakcia_coffee,,,,,58.601632,49.681431,https://2gis.com/firm/70000001056293257
Прага,кафе,Кафе,"улица Щорса, 68/2",1 этаж,610035,,Ленинский район,Киров,Киров городской округ,Кировская область,Россия,Пн: 10:00-24:00; Вт: 10:00-24:00; Ср: 10:00-24:00; Чт: 10:00-24:00; Пт: 10:00-24:00; Сб: 10:00-24:00; Вс: 10:00-24:00,+03:00,5.0,1,88332461005,89128261005,,,,,,,https://wa.me/79127349191,,,,58.577299,49.592261,https://2gis.com/firm/70000001019104227
Апельсинка,банкетный зал,Банкетные залы; Кейтеринг; Организация и проведение праздников; Конференц-залы / Переговорные комнаты; Доставка готовых блюд,"улица Кольцова, 3",,610050,,Октябрьский район,Киров,Киров городской округ,Кировская область,Россия,Пн: 08:00-20:00; Вт: 08:00-20:00; Ср: 08:00-20:00; Чт: 08:00-20:00; Пт: 08:00-20:00,+03:00,3.4,17,89229002863,88332424148,,,http://apelsinka43.ru,,,https://vk.com/apelsinkirov43,https://wa.me/79229002863,,https://t.me/+79229895518,,58.608927,49.604818,https://2gis.com/firm/8163302605587182
Метелица,кафе,Кафе; Банкетные залы; Столовые,"улица Менделеева, 12",1 этаж,610050,,Октябрьский район,Киров,Киров городской округ,Кировская область,Россия,Пн: 08:00-18:00; Вт: 08:00-18:00; Ср: 08:00-18:00; Чт: 08:00-18:00; Пт: 08:00-18:00; Сб: 08:00-17:00; Вс: 08:00-17:00,+03:00,2.5,16,88332523874 (склад),88332514506 (отдел бухгалтерии),,,,,,,,,,,58.605914,49.603624,https://2gis.com/firm/8163302605590516
АвтоПорт,кафе,Кафе; Банкетные залы; Бары,"трасса Киров-Котельнич, 2а",1 этаж,613635,,,Киров,Киров городской округ,Кировская область,Россия,Пн: 07:00-22:00; Вт: 07:00-22:00; Ср: 07:00-22:00; Чт: 07:00-22:00; Пт: 07:00-22:00; Сб: 07:00-22:00; Вс: 07:00-22:00,+03:00,5.0,13,88332440606,88332661111,,,http://cafe.motor92.ru,,,https://vk.com/avtoport43,,,,,58.681987,49.641601,https://2gis.com/firm/8163302605586893
Кабинет Чарушин,,Бары; Кафе; Банкетные залы,"улица Ленина, 80",2 этаж,610020,Исторический центр,Первомайский район,Киров,Киров городской округ,Кировская область,Россия,Пн: 07:00-24:00; Вт: 07:00-24:00; Ср: 07:00-24:00; Чт: 07:00-24:00; Пт: 07:00-24:00; Сб: 07:00-24:00; Вс: 07:00-24:00,+03:00,3.3,3,88332651930,,,,http://restoran-rossia.ru,,,https://vk.com/restaurantrussia,https://wa.me/79128279191,,,,58.603994,49.682313,https://2gis.com/firm/8163302605586644
Кавказская кухня,кафе,Кафе,"улица Воровского, 107в",2 этаж,610035,,Ленинский район,Киров,Киров городской округ,Кировская область,Россия,Пн: 11:00-01:00; Вт: 11:00-01:00; Ср: 11:00-01:00; Чт: 11:00-01:00; Пт: 11:00-03:00; Сб: 11:00-03:00; Вс: 11:00-01:00,+03:00,4.0,4,88332261726,89005261726,,,,,,https://vk.com/public215511716,,,,,58.593758,49.628671,https://2gis.com/firm/70000001065532520
Барон Чайхаузен,бутик-кофейня,Кофейни; Продажа кофе,"улица Розы Люксембург, 30",1 этаж,610004,Исторический центр,Первомайский район,Киров,Киров городской округ,Кировская область,Россия,Пн: 09:00-21:00; Вт: 09:00-21:00; Ср: 09:00-21:00; Чт: 09:00-21:00; Пт: 09:00-21:00; Сб: 09:00-21:00; Вс: 09:00-21:00,+03:00,4.6,16,89195290430,,,,,,,https://vk.com/baronchay,https://wa.me/79195290430,viber://chat/?number=79195290430,https://t.me/baron_chayhauzen,,58.611726,49.678848,https://2gis.com/firm/70000001007528563
7 Холмов,кафе,Кафе,"улица Молодой Гвардии, 84г",1 этаж,610017,,Ленинский район,Киров,Киров городской округ,Кировская область,Россия,Пн: 07:30-21:00; Вт: 07:30-21:00; Ср: 07:30-21:00; Чт: 07:30-21:00; Пт: 07:30-21:00; Сб: 07:30-21:00; Вс: 07:30-21:00,+03:00,5.0,2,88332547166,,,,,,,https://vk.com/id258110957,,,,,58.597187,49.651811,https://2gis.com/firm/70000001017524141
E-Cafe,,Кафе; Доставка готовых блюд,"улица Ивана Попова, 64а",цокольный этаж,610025,,Ленинский район,Киров,Киров городской округ,Кировская область,Россия,Пн: 10:00-23:00; Вт: 10:00-23:00; Ср: 10:00-23:00; Чт: 10:00-23:00; Пт: 10:00-24:00; Сб: 10:00-24:00; Вс: 10:00-23:00,+03:00,5.0,1,88332499949,,,,http://e-kafe.ru/,,,https://vk.com/ecafekirov,,,,,58.564617,49.643432,https://2gis.com/firm/70000001063774512
Symposium,ресторан,Рестораны; Бары,"улица Красина, 10",1 этаж,610001,,Ленинский район,Киров,Киров городской округ,Кировская область,Россия,Пн: 12:00-23:00; Вт: 12:00-23:00; Ср: 12:00-23:00; Чт: 12:00-23:00; Пт: 12:00-23:00; Сб: 12:00-23:00; Вс: 12:00-23:00,+03:00,4.2,6,88332442150,,,,http://symposiumkirov.ru,,,,,,,,58.578985,49.642023,https://2gis.com/firm/8163303606008304
